#Gene	Initiation	Avg. norm. mRNA read count	Avg. norm. rib. read count	Fitness	No. of segments
YNL073W	1.65661E-005	8.33218E-008	3.31639E-008	35.3868	7
YNL160W	0.000036453	4.67552E-007	3.03534E-007	47.1311	26
YMR013C	8.97822E-006	1.75125E-007	3.78799E-008	26.2308	6
YLR223C	6.46729E-005	3.56698E-008	2.86194E-008	-0.17215	7
YKL135C	1.88652E-005	1.78065E-007	7.37586E-008	37.3631	16
YLR363C	1.47687E-005	3.55567E-007	1.23825E-007	29.3745	9
YNR026C	2.63397E-005	1.52054E-007	1.03058E-007	46.9168	14
YNR046W	3.09066E-005	0.000000592	0.000000597	35.4294	10
YJL014W	6.08227E-005	4.0936E-007	4.57932E-007	159.351	36
YDR219C	1.82642E-005	1.3517E-007	5.08301E-008	-18.2381	7
YCR011C	7.34821E-005	1.69699E-007	1.47658E-007	-150.698	40
YLR431C	1.09339E-005	4.9622E-008	1.1551E-008	6.83292	1
YKL001C	1.85218E-005	2.29509E-007	1.04666E-007	31.9847	7
YNL055C	5.62988E-005	2.69715E-006	3.0032E-006	96.5449	20
YJR005W	2.13097E-005	1.13482E-007	5.13569E-008	65.1162	15
YML023C	2.84567E-006	2.49588E-007	1.58582E-008	15.7765	3
YNL072W	1.42537E-005	1.43947E-007	0.000000063	18.6639	7
YBL098W	2.32654E-005	1.05745E-007	4.93506E-008	36.7701	7
YKL113C	3.04237E-005	1.58793E-007	1.02061E-007	62.2142	13
YOR174W	1.23289E-005	1.91432E-007	4.73815E-008	18.0538	4
YER030W	0.000047169	2.61171E-007	2.15888E-007	36.8763	7
YFL002C	2.32654E-005	1.14449E-007	5.84004E-008	56.4031	11
YPR149W	5.22667E-005	2.56674E-006	3.79708E-006	27.5126	12
YGL181W	7.76566E-006	2.21763E-007	1.11594E-007	-164.214	15
YJL176C	2.55295E-005	8.83076E-008	0.000000052	55.3365	14
YJR072C	3.75797E-005	3.01572E-007	2.31165E-007	136.28	29
YLR151C	0.000027626	0.000000053	2.68247E-008	11.5354	3
YKR039W	2.09663E-005	6.30572E-008	1.9829E-008	19.5346	4
YPL087W	2.89298E-005	4.20709E-007	1.53236E-007	-1.5886	15
YNL015W	0.000113439	3.17352E-007	0.000000509	19.7976	4
YCR084C	0.000061252	2.15415E-007	3.25869E-007	133.296	39
YGL003C	5.6249E-006	1.11286E-007	0.000000019	10.6345	4
YJL054W	1.65661E-005	0.000000186	8.16313E-008	71.9226	15
YHR178W	1.06227E-005	0.000000038	9.42231E-009	12.1413	2
YOR118W	1.69095E-005	1.17275E-007	4.22622E-008	40.0249	7
YLR069C	7.64247E-005	6.01377E-008	9.08983E-008	33.9339	10
YDR268W	2.21789E-005	1.54213E-007	5.65552E-008	22.9335	7
YMR022W	3.48058E-005	3.4462E-007	2.63928E-007	62.3386	12
YPL170W	0.000028227	0.000000253	1.80906E-007	22.6655	7
YKR006C	3.12929E-005	1.81323E-007	1.53218E-007	36.2929	11
YDL117W	0.000012624	1.48838E-007	4.62792E-008	18.489	12
YDR204W	1.52623E-005	2.63415E-007	9.56412E-008	63.5104	12
YPR101W	1.69095E-005	0.000000177	8.58639E-008	16.7309	3
YER089C	3.04237E-005	4.35059E-007	2.76302E-007	104.338	30
YAL038W	0.000113182	2.64193E-005	0.000043431	146.736	36
YIL105C	1.27956E-005	1.18124E-007	0.000000064	8.40631	13
YNL119W	0.00001633	2.07127E-007	4.2305E-008	-18.3574	8
YML126C	0.000082132	0.000000867	1.11348E-006	151.238	35
YLR189C	1.88652E-005	4.64722E-008	0.000000019	3.41866	7
YIL150C	2.91655E-005	1.92622E-008	1.78229E-008	10.5172	2
YPR141C	3.25967E-005	3.65045E-008	2.18724E-008	7.82569	3
YDR285W	9.14991E-006	3.05834E-008	0.000000005	6.30391	1
YNR019W	3.95354E-005	1.93318E-007	1.43165E-007	132.291	29
YGR158C	0.000030252	2.2763E-007	1.40837E-007	28.1165	9
YFR046C	0.000008667	8.85014E-008	1.60602E-008	12.8425	2
YPL050C	3.04237E-005	4.28854E-007	0.000000311	130.679	28
YJR109C	0.000122526	7.91313E-008	1.89392E-007	18.4361	21
YLR254C	1.11056E-005	2.31888E-007	6.80551E-008	9.00736	4
YOL119C	1.40391E-005	3.94691E-007	9.84359E-008	56.442	17
YOR003W	7.76566E-006	4.65303E-008	9.41965E-009	6.03374	1
YPL105C	1.46829E-005	1.90333E-007	0.000000064	30.5182	18
YHR121W	3.99304E-005	3.77297E-007	2.25865E-007	43.7446	12
YOL097C	2.91655E-005	8.69432E-007	5.84924E-007	160.753	33
YJL096W	6.42866E-005	1.72418E-007	0.000000222	18.6378	6
YDR407C	2.49501E-005	6.81897E-008	0.000000031	18.0348	12
YLR354C	5.95542E-005	2.06254E-006	2.11524E-006	119.375	24
YGL245W	6.86869E-005	1.3341E-006	1.61075E-006	258.681	56
YNR020C	4.54307E-005	4.76801E-008	4.31399E-008	12.5345	3
YBR258C	2.43063E-005	7.71714E-008	4.07428E-008	6.03841	1
YDL107W	2.25652E-005	0.000000061	2.73121E-008	8.9682	2
YAL007C	4.21516E-005	6.71089E-007	5.48676E-007	66.7768	15
YHR142W	0.000008667	6.09867E-007	1.30817E-007	65.8427	14
YGR098C	2.85489E-005	2.32465E-008	1.561E-008	-24.3871	6
YOR264W	8.49534E-006	5.74095E-007	1.20491E-007	-19.2337	15
YNL241C	3.83228E-005	5.23286E-007	5.02284E-007	167.955	36
YJL154C	2.21789E-005	1.84852E-007	0.000000094	52.9272	27
YDR091C	4.39552E-005	3.84897E-007	0.000000424	155.526	44
YJL123C	2.23506E-005	2.91512E-007	1.678E-007	111.76	31
YIR005W	1.88652E-005	1.27439E-007	4.82308E-008	10.1023	2
YPL047W	0.000012624	0.000000267	0.000000082	12.7374	2
YNL326C	0.000012624	1.17094E-007	3.88071E-008	15.9896	4
YIL147C	0.000022922	5.38231E-008	2.59417E-008	-14.1877	9
YBR129C	1.23289E-005	1.60165E-007	4.16652E-008	23.4482	4
YDL160C	0.000241527	6.18435E-008	5.65649E-007	-5.26034	7
YBR176W	2.32654E-005	1.22701E-007	7.08477E-008	37.9179	7
YDR207C	2.43063E-005	4.52155E-008	2.71794E-008	19.5927	6
YJR123W	6.09944E-005	1.93892E-005	1.87498E-005	85.1475	18
YGR167W	4.96076E-005	6.70465E-007	6.01628E-007	80.8046	16
YKL099C	2.87581E-005	2.19622E-007	1.371E-007	47.1399	11
YDR315C	1.20713E-005	7.82527E-008	1.6578E-008	5.16963	1
